92
\ID	X	Y	Vx	Vy	Radius
0	0.08789406464584877	0.013638055459736766	0.08789406464584877	0.013638055459736766	0.01252817324566672
1	0.22411796349655871	0.041549323110812254	0.22411796349655871	0.041549323110812254	0.011690569712305452
2	0.1304781003266817	0.06618348487308777	0.1304781003266817	0.06618348487308777	0.012944080030781228
3	0.13136309505325433	0.03262456218268541	0.13136309505325433	0.03262456218268541	0.010055970919936232
4	0.057550026834562625	0.07989215741744092	0.057550026834562625	0.07989215741744092	0.013067300160146764
5	0.07125783913869159	0.059194175994953926	0.07125783913869159	0.059194175994953926	0.010177002787382485
6	0.22573209371356917	0.06536946431691001	0.22573209371356917	0.06536946431691001	0.01025938528199245
7	0.24031760670711838	0.09230847989007435	0.24031760670711838	0.09230847989007435	0.014515159772226935
8	0.18942737011706026	0.08257667741324562	0.18942737011706026	0.08257667741324562	0.010014052359323143
9	0.276763153203039	0.06082083149824385	0.276763153203039	0.06082083149824385	0.014818839629093465
10	0.2077365410121685	0.09696135805355562	0.2077365410121685	0.09696135805355562	0.011803875746269269
11	0.013831596395605383	0.017163872459469133	0.013831596395605383	0.017163872459469133	0.012159450668716818
12	0.031149161971737914	0.03152589497315328	0.031149161971737914	0.03152589497315328	0.010240706729694963
13	0.2570320343501225	0.03458063400597244	0.2570320343501225	0.03458063400597244	0.013968734531758401
14	0.010790519142609478	0.09497482735267335	0.010790519142609478	0.09497482735267335	0.01049963383017868
15	0.08713477499924739	0.0919239816255776	0.08713477499924739	0.0919239816255776	0.012963510545440067
16	0.12362958376470257	0.09936816261168552	0.12362958376470257	0.09936816261168552	0.01153594632520446
17	0.1586870789254122	0.08613959469673127	0.1586870789254122	0.08613959469673127	0.01246534902343028
18	0.06300321820288947	0.02404654245262873	0.06300321820288947	0.02404654245262873	0.012170618727256615
19	0.10990317935614698	0.024008125203146713	0.10990317935614698	0.024008125203146713	0.011546883439814906
20	0.19145918159669958	0.0369745475971317	0.19145918159669958	0.0369745475971317	0.011747292069153311
21	0.28408578839685406	0.03183874287723256	0.28408578839685406	0.03183874287723256	0.010938494436296646
22	0.09754213637350814	0.06340075222593188	0.09754213637350814	0.06340075222593188	0.012011288213465005
23	0.2873560543003811	0.09652117211712168	0.2873560543003811	0.09652117211712168	0.011578878812872184
24	0.15815581426737316	0.02521124577292011	0.15815581426737316	0.02521124577292011	0.013989901084324009
25	0.013622033843922377	0.05272337997298152	0.013622033843922377	0.05272337997298152	0.011876330200663787
26	0.04716671619893093	0.04972217659222033	0.04716671619893093	0.04972217659222033	0.010616783016382678
27	0.17751036219566776	0.060547760424826194	0.17751036219566776	0.060547760424826194	0.013698905792435788
28	0.21811387737114404	0.016203577450280084	0.21811387737114404	0.016203577450280084	0.013955875690060269
29	0.030605106644626654	0.07402538029157234	0.030605106644626654	0.07402538029157234	0.011564550488017345
30	0.0385511632638104	0.09939283665537153	0.0385511632638104	0.09939283665537153	0.010414115796288533
31	0.2047591753392722	0.05767565888820508	0.2047591753392722	0.05767565888820508	0.010860245587796784
32	0.24992041931556286	0.06755311677083164	0.24992041931556286	0.06755311677083164	0.011825971232259126
33	0.18550291811074432	0.014197308186465996	0.18550291811074432	0.014197308186465996	0.011743388528059357
34	0.08723901356415414	0.03805352427924924	0.08723901356415414	0.03805352427924924	0.01028849779524647
35	0.1359785486928093	0.01082699525498545	0.1359785486928093	0.01082699525498545	0.010629183420547738
36	0.15073150600709526	0.053561623096866844	0.15073150600709526	0.053561623096866844	0.01077242282957522
37	0.26707284427432115	0.08610767653401546	0.26707284427432115	0.08610767653401546	0.010312413900740081
38	0.24335820089986027	0.013391423411664173	0.24335820089986027	0.013391423411664173	0.010222822478370613
39	0.2756967223200421	0.01058607944319706	0.2756967223200421	0.01058607944319706	0.01011827353237282
40	0.11444207594746081	0.0472868037646316	0.11444207594746081	0.0472868037646316	0.010319748035203429
41	0.17816979816879425	0.09968931220958493	0.17816979816879425	0.09968931220958493	0.010268464393921466
42	0.040424240919824696	0.013043495513336412	0.040424240919824696	0.013043495513336412	0.010088123893815578
43	0.10856744635723388	0.08345481239191666	0.10856744635723388	0.08345481239191666	0.01
-1	0.0	1.0	0.0	1.0	0.007
-2	0.3	1.0	0.3	1.0	0.007
-3	0.0	-0.1	0.0	-0.1	0.007
-4	0.3	-0.1	0.3	-0.1	0.007
-5	0.0	0.0	0.0	0.0	0.007
-6	0.007	0.0	0.007	0.0	0.007
-7	0.014	0.0	0.014	0.0	0.007
-8	0.021	0.0	0.021	0.0	0.007
-9	0.028	0.0	0.028	0.0	0.007
-10	0.035	0.0	0.035	0.0	0.007
-11	0.042	0.0	0.042	0.0	0.007
-12	0.049	0.0	0.049	0.0	0.007
-13	0.056	0.0	0.056	0.0	0.007
-14	0.063	0.0	0.063	0.0	0.007
-15	0.07	0.0	0.07	0.0	0.007
-16	0.077	0.0	0.077	0.0	0.007
-17	0.084	0.0	0.084	0.0	0.007
-18	0.091	0.0	0.091	0.0	0.007
-19	0.098	0.0	0.098	0.0	0.007
-20	0.105	0.0	0.105	0.0	0.007
-21	0.112	0.0	0.112	0.0	0.007
-22	0.11900000000000001	0.0	0.11900000000000001	0.0	0.007
-23	0.126	0.0	0.126	0.0	0.007
-24	0.133	0.0	0.133	0.0	0.007
-25	0.14	0.0	0.14	0.0	0.007
-26	0.147	0.0	0.147	0.0	0.007
-27	0.154	0.0	0.154	0.0	0.007
-28	0.161	0.0	0.161	0.0	0.007
-29	0.168	0.0	0.168	0.0	0.007
-30	0.17500000000000002	0.0	0.17500000000000002	0.0	0.007
-31	0.182	0.0	0.182	0.0	0.007
-32	0.189	0.0	0.189	0.0	0.007
-33	0.196	0.0	0.196	0.0	0.007
-34	0.203	0.0	0.203	0.0	0.007
-35	0.21	0.0	0.21	0.0	0.007
-36	0.217	0.0	0.217	0.0	0.007
-37	0.224	0.0	0.224	0.0	0.007
-38	0.231	0.0	0.231	0.0	0.007
-39	0.23800000000000002	0.0	0.23800000000000002	0.0	0.007
-40	0.245	0.0	0.245	0.0	0.007
-41	0.252	0.0	0.252	0.0	0.007
-42	0.259	0.0	0.259	0.0	0.007
-43	0.266	0.0	0.266	0.0	0.007
-44	0.273	0.0	0.273	0.0	0.007
-45	0.28	0.0	0.28	0.0	0.007
-46	0.28700000000000003	0.0	0.28700000000000003	0.0	0.007
-47	0.294	0.0	0.294	0.0	0.007
-48	0.301	0.0	0.301	0.0	0.007
92
\ID	X	Y	Vx	Vy	Radius
0	0.08789406464584877	0.013393051226429205	0.08789406464584877	0.013393051226429205	0.01252817324566672
1	0.22411796349655871	0.04130431454060927	0.22411796349655871	0.04130431454060927	0.011690569712305452
2	0.1304781003266817	0.06593848497667563	0.1304781003266817	0.06593848497667563	0.012944080030781228
3	0.13136309505325433	0.032379553612482424	0.13136309505325433	0.032379553612482424	0.010055970919936232
4	0.057550026834562625	0.07964715752102879	0.057550026834562625	0.07964715752102879	0.013067300160146764
5	0.07125783913869159	0.05894916742475094	0.07125783913869159	0.05894916742475094	0.010177002787382485
6	0.22573209371356917	0.06512446442049788	0.22573209371356917	0.06512446442049788	0.01025938528199245
7	0.24031760670711838	0.09206347999366221	0.24031760670711838	0.09206347999366221	0.014515159772226935
8	0.18942737011706026	0.08233167751683348	0.18942737011706026	0.08233167751683348	0.010014052359323143
